name	investment	area	industry	time	operationmode	mechanism	level	term	people	tele	schedule	overview	scope
贵州省铜仁市万山区第二污水处理及再生水回用工程	0.69亿元	贵州省	市政工程	待定	BOT	特许经营	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		新建日处理规模8000立方米的污水处理厂一座，配套建设日处理规模4000立方米的再生水处理系统；新建污水收集管31563米，其中DN5005892米、DN40014032米、DN30010462米，DN250压力管1177米；新建再生水输送管9310米，其中DN3003402米、DN2502127米；DN2003181米；污水提升泵站一座，再生水减压池一座。项目建成后，污水出水达到一级A标准，年减排COD693.5吨。	
													
贵州省黔东南州榕江县城供水扩建工程	1.0242亿元	贵州省	市政工程	待定	股权合作	特许经营	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		新增供水能力4万吨/日，使榕江县城供水能力达6万吨/日，建设内容包括取水工程，输水工程，净水工程，配水工程。	
													
贵州省铜仁市万山区开天铺片区供水一期工程	0.70亿元	贵州省	市政工程	待定	BOT	特许经营	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		新增日供水能力2.0万吨，建设内容：（一）取水工程：选用鱼塘乡旗屯河村澎水垅地下水用为取水水源。（二）输水工程：输水工程铺设输水管7960米，其中DN500×10L=2300米，管材选用卷焊钢管；DN500L=5660米，管材选用K9级离心球墨铸铁管。（三）净水工程：在万山区开天铺老岩坡处新建净水厂；（四）配水工程：配水管网DN100～DN700L=21440米，其中DN≥250的管材选用K9级离心球墨铸铁管，其它选用PE管。	
													
贵州省铜仁市污水处理二期工程	2.45亿元	贵州省	市政工程	待定	股权合作	特许经营	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		4万吨/日污水处理厂1座污水收集管网110公里。	
													
贵州省铜仁市供水二期工程	2.8028亿元	贵州省	市政工程	待定	BOT	特许经营	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		新增8万m3/日供水能力（其中：白马洞4万m3/日、大兴水厂4万吨/日），建设配水管网总长60125米，输水加压泵房2座；中途加压泵房1座，高位水池2座，减压水池1座。	
													
